#separator:tab
#html:false
2×2	"2×2  	4"
2×3	"2×3  	6"
2×4	"2×4  	8"
2×5	"2×5  	10"
2×6	"2×6  	12"
2×7	"2×7  	14"
2×8	"2×8  	16"
2×9	"2×9  	18"
2×10	"2×10  	20"
2×11	"2×11  	22"
2×12	"2×12  	24"
2×13	"2×13  	26"
2×14	"2×14  	28"
2×15	"2×15  	30"
2×16	"2×16  	32"
2×17	"2×17  	34"
2×18	"2×18  	36"
2×19	"2×19  	38"
2×20	"2×20  	40"
2×21	"2×21  	42"
2×22	"2×22  	44"
2×23	"2×23  	46"
2×24	"2×24  	48"
2×25	"2×25  	50"
3×3	"3×3  	9"
3×4	"3×4  	12"
3×5	"3×5  	15"
3×6	"3×6  	18"
3×7	"3×7  	21"
3×8	"3×8  	24"
3×9	"3×9  	27"
3×10	"3×10  	30"
3×11	"3×11  	33"
3×12	"3×12  	36"
3×13	"3×13  	39"
3×14	"3×14  	42"
3×15	"3×15  	45"
3×16	"3×16  	48"
3×17	"3×17  	51"
3×18	"3×18  	54"
3×19	"3×19  	57"
3×20	"3×20  	60"
3×21	"3×21  	63"
3×22	"3×22  	66"
3×23	"3×23  	69"
3×24	"3×24  	72"
3×25	"3×25  	75"
4×4	"4×4  	16"
4×5	"4×5  	20"
4×6	"4×6  	24"
4×7	"4×7  	28"
4×8	"4×8  	32"
4×9	"4×9  	36"
4×10	"4×10  	40"
4×11	"4×11  	44"
4×12	"4×12  	48"
4×13	"4×13  	52"
4×14	"4×14  	56"
4×15	"4×15  	60"
4×16	"4×16  	64"
4×17	"4×17  	68"
4×18	"4×18  	72"
4×19	"4×19  	76"
4×20	"4×20  	80"
4×21	"4×21  	84"
4×22	"4×22  	88"
4×23	"4×23  	92"
4×24	"4×24  	96"
4×25	"4×25  	100"
5×5	"5×5  	25"
5×6	"5×6  	30"
5×7	"5×7  	35"
5×8	"5×8  	40"
5×9	"5×9  	45"
5×10	"5×10  	50"
5×11	"5×11  	55"
5×12	"5×12  	60"
5×13	"5×13  	65"
5×14	"5×14  	70"
5×15	"5×15  	75"
5×16	"5×16  	80"
5×17	"5×17  	85"
5×18	"5×18  	90"
5×19	"5×19  	95"
5×20	"5×20  	100"
5×21	"5×21  	105"
5×22	"5×22  	110"
5×23	"5×23  	115"
5×24	"5×24  	120"
5×25	"5×25  	125"
6×6	"6×6  	36"
6×7	"6×7  	42"
6×8	"6×8  	48"
6×9	"6×9  	54"
6×10	"6×10  	60"
6×11	"6×11  	66"
6×12	"6×12  	72"
6×13	"6×13  	78"
6×14	"6×14  	84"
6×15	"6×15  	90"
6×16	"6×16  	96"
6×17	"6×17  	102"
6×18	"6×18  	108"
6×19	"6×19  	114"
6×20	"6×20  	120"
6×21	"6×21  	126"
6×22	"6×22  	132"
6×23	"6×23  	138"
6×24	"6×24  	144"
6×25	"6×25  	150"
7×7	"7×7  	49"
7×8	"7×8  	56"
7×9	"7×9  	63"
7×10	"7×10  	70"
7×11	"7×11  	77"
7×12	"7×12  	84"
7×13	"7×13  	91"
7×14	"7×14  	98"
7×15	"7×15  	105"
7×16	"7×16  	112"
7×17	"7×17  	119"
7×18	"7×18  	126"
7×19	"7×19  	133"
7×20	"7×20  	140"
7×21	"7×21  	147"
7×22	"7×22  	154"
7×23	"7×23  	161"
7×24	"7×24  	168"
7×25	"7×25  	175"
8×8	"8×8  	64"
8×9	"8×9  	72"
8×10	"8×10  	80"
8×11	"8×11  	88"
8×12	"8×12  	96"
8×13	"8×13  	104"
8×14	"8×14  	112"
8×15	"8×15  	120"
8×16	"8×16  	128"
8×17	"8×17  	136"
8×18	"8×18  	144"
8×19	"8×19  	152"
8×20	"8×20  	160"
8×21	"8×21  	168"
8×22	"8×22  	176"
8×23	"8×23  	184"
8×24	"8×24  	192"
8×25	"8×25  	200"
9×9	"9×9  	81"
9×10	"9×10  	90"
9×11	"9×11  	99"
9×12	"9×12  	108"
9×13	"9×13  	117"
9×14	"9×14  	126"
9×15	"9×15  	135"
9×16	"9×16  	144"
9×17	"9×17  	153"
9×18	"9×18  	162"
9×19	"9×19  	171"
9×20	"9×20  	180"
9×21	"9×21  	189"
9×22	"9×22  	198"
9×23	"9×23  	207"
9×24	"9×24  	216"
9×25	"9×25  	225"
10×10	"10×10  	100"
10×11	"10×11  	110"
10×12	"10×12  	120"
10×13	"10×13  	130"
10×14	"10×14  	140"
10×15	"10×15  	150"
10×16	"10×16  	160"
10×17	"10×17  	170"
10×18	"10×18  	180"
10×19	"10×19  	190"
10×20	"10×20  	200"
10×21	"10×21  	210"
10×22	"10×22  	220"
10×23	"10×23  	230"
10×24	"10×24  	240"
10×25	"10×25  	250"
11×11	"11×11  	121"
11×12	"11×12  	132"
11×13	"11×13  	143"
11×14	"11×14  	154"
11×15	"11×15  	165"
11×16	"11×16  	176"
11×17	"11×17  	187"
11×18	"11×18  	198"
11×19	"11×19  	209"
11×20	"11×20  	220"
11×21	"11×21  	231"
11×22	"11×22  	242"
11×23	"11×23  	253"
11×24	"11×24  	264"
11×25	"11×25  	275"
12×12	"12×12  	144"
12×13	"12×13  	156"
12×14	"12×14  	168"
12×15	"12×15  	180"
12×16	"12×16  	192"
12×17	"12×17  	204"
12×18	"12×18  	216"
12×19	"12×19  	228"
12×20	"12×20  	240"
12×21	"12×21  	252"
12×22	"12×22  	264"
12×23	"12×23  	276"
12×24	"12×24  	288"
12×25	"12×25  	300"
13×13	"13×13  	169"
